p_id,workclass,education,education_num,education_cat_lev,education_cat,marital_status,occupation,relationship,native_country,income,income_lev
6132,Private,HS-grad,9,2,HS graduate,1,Farming-fishing,Husband,United-States,<=50K,0
6133,Public-sector,Some-college,10,3,Some college or associate's degree,0,Tech-support,Not-in-family,United-States,<=50K,0
6134,Public-sector,Bachelors,13,4,Bachelor's degree,1,Adm-clerical,Husband,United-States,<=50K,0
6135,Private,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,England,>50K,1
6136,Private,Some-college,10,3,Some college or associate's degree,1,Adm-clerical,Husband,United-States,<=50K,0
6137,Private,Assoc-voc,11,3,Some college or associate's degree,1,Sales,Husband,United-States,>50K,1
6138,Private,HS-grad,9,2,HS graduate,0,Other-service,Not-in-family,United-States,<=50K,0
6139,Private,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,<=50K,0
6140,Private,Assoc-voc,11,3,Some college or associate's degree,0,Other-service,Not-in-family,United-States,<=50K,0
6141,Private,HS-grad,9,2,HS graduate,1,Transport-moving,Husband,United-States,<=50K,0
6142,Public-sector,9th,5,1,Less than HS graduate,1,Other-service,Husband,United-States,<=50K,0
6143,Public-sector,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Wife,United-States,>50K,1
6144,Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Unmarried,United-States,<=50K,0
6145,Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
6146,Self-emp,Some-college,10,3,Some college or associate's degree,0,Exec-managerial,Not-in-family,United-States,<=50K,0
6147,Self-emp,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,United-States,>50K,1
6148,Private,Some-college,10,3,Some college or associate's degree,0,Other-service,Own-child,United-States,<=50K,0
6149,Self-emp,Assoc-acdm,12,3,Some college or associate's degree,1,Exec-managerial,Husband,United-States,>50K,1
6150,Self-emp,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Wife,South,<=50K,0
6151,Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
6152,Public-sector,9th,5,1,Less than HS graduate,0,Other-service,Unmarried,United-States,<=50K,0
6153,Self-emp,Masters,14,5,Graduate or professional degree,0,Exec-managerial,Not-in-family,United-States,<=50K,0
6154,Private,Bachelors,13,4,Bachelor's degree,0,Sales,Not-in-family,United-States,<=50K,0
6155,Private,Some-college,10,3,Some college or associate's degree,0,Transport-moving,Not-in-family,United-States,<=50K,0
6156,Private,Some-college,10,3,Some college or associate's degree,0,Other-service,Own-child,United-States,<=50K,0
6157,Private,HS-grad,9,2,HS graduate,0,Craft-repair,Not-in-family,United-States,<=50K,0
6158,Private,Assoc-acdm,12,3,Some college or associate's degree,0,Sales,Not-in-family,United-States,<=50K,0
6159,Private,HS-grad,9,2,HS graduate,0,Other-service,Not-in-family,United-States,<=50K,0
6160,Private,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
6161,Self-emp,Bachelors,13,4,Bachelor's degree,1,Sales,Not-in-family,United-States,<=50K,0
6162,Private,HS-grad,9,2,HS graduate,0,Exec-managerial,Unmarried,United-States,<=50K,0
6163,Private,Some-college,10,3,Some college or associate's degree,0,Sales,Own-child,United-States,<=50K,0
6164,Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
6165,Private,HS-grad,9,2,HS graduate,1,Transport-moving,Husband,United-States,<=50K,0
6166,Private,Bachelors,13,4,Bachelor's degree,0,Adm-clerical,Own-child,United-States,<=50K,0
6167,Private,HS-grad,9,2,HS graduate,0,Protective-serv,Not-in-family,United-States,<=50K,0
6168,Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Own-child,United-States,<=50K,0
6169,Private,HS-grad,9,2,HS graduate,0,Exec-managerial,Not-in-family,United-States,<=50K,0
6170,Self-emp,7th-8th,4,1,Less than HS graduate,1,Exec-managerial,Husband,United-States,>50K,1
6171,Private,HS-grad,9,2,HS graduate,1,Handlers-cleaners,Husband,United-States,<=50K,0
6172,Private,Some-college,10,3,Some college or associate's degree,0,Other-service,Not-in-family,United-States,<=50K,0
6173,Private,Doctorate,16,5,Graduate or professional degree,1,Prof-specialty,Husband,El-Salvador,>50K,1
6174,Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Own-child,United-States,<=50K,0
6175,Private,HS-grad,9,2,HS graduate,0,Craft-repair,Unmarried,Vietnam,<=50K,0
6176,Private,Bachelors,13,4,Bachelor's degree,1,Sales,Husband,?,<=50K,0
6177,Private,Bachelors,13,4,Bachelor's degree,1,Sales,Husband,United-States,>50K,1
6178,?,HS-grad,9,2,HS graduate,1,?,Husband,United-States,<=50K,0
6179,Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,>50K,1
6180,Self-emp,Prof-school,15,5,Graduate or professional degree,1,Farming-fishing,Husband,United-States,<=50K,0
6181,Private,Prof-school,15,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
6182,Public-sector,Some-college,10,3,Some college or associate's degree,0,Exec-managerial,Not-in-family,Iran,<=50K,0
6183,Private,10th,6,1,Less than HS graduate,0,Other-service,Unmarried,United-States,<=50K,0
6184,Public-sector,HS-grad,9,2,HS graduate,1,Protective-serv,Husband,United-States,>50K,1
6185,Private,Assoc-acdm,12,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
6186,Private,Bachelors,13,4,Bachelor's degree,1,Other-service,Wife,?,>50K,1
6187,Private,10th,6,1,Less than HS graduate,0,Handlers-cleaners,Unmarried,United-States,<=50K,0
6188,Private,HS-grad,9,2,HS graduate,1,Adm-clerical,Wife,United-States,<=50K,0
6189,Public-sector,HS-grad,9,2,HS graduate,1,Protective-serv,Husband,United-States,<=50K,0
6190,Private,Some-college,10,3,Some college or associate's degree,0,Other-service,Own-child,United-States,<=50K,0
6191,Private,HS-grad,9,2,HS graduate,1,Prof-specialty,Wife,United-States,<=50K,0
6192,Private,Some-college,10,3,Some college or associate's degree,1,Adm-clerical,Wife,United-States,>50K,1
6193,Public-sector,Some-college,10,3,Some college or associate's degree,0,Exec-managerial,Unmarried,United-States,<=50K,0
6194,Private,11th,7,1,Less than HS graduate,0,Sales,Own-child,United-States,<=50K,0
6195,Private,Some-college,10,3,Some college or associate's degree,1,Adm-clerical,Husband,United-States,<=50K,0
6196,Private,Some-college,10,3,Some college or associate's degree,1,Tech-support,Husband,United-States,>50K,1
6197,Private,HS-grad,9,2,HS graduate,1,Exec-managerial,Wife,United-States,>50K,1
6198,Private,11th,7,1,Less than HS graduate,0,Other-service,Not-in-family,United-States,<=50K,0
6199,Private,Some-college,10,3,Some college or associate's degree,0,Exec-managerial,Not-in-family,United-States,>50K,1
6200,Self-emp,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,>50K,1
6201,Private,Bachelors,13,4,Bachelor's degree,0,Sales,Not-in-family,United-States,<=50K,0
6202,Private,Assoc-voc,11,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,<=50K,0
6203,Private,HS-grad,9,2,HS graduate,0,Prof-specialty,Unmarried,Puerto-Rico,<=50K,0
6204,Private,11th,7,1,Less than HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
6205,Private,Masters,14,5,Graduate or professional degree,1,Exec-managerial,Husband,United-States,>50K,1
6206,Private,Some-college,10,3,Some college or associate's degree,1,Other-service,Husband,United-States,<=50K,0
6207,Private,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,<=50K,0
6208,Public-sector,Masters,14,5,Graduate or professional degree,0,Exec-managerial,Not-in-family,United-States,>50K,1
6209,Public-sector,HS-grad,9,2,HS graduate,0,Protective-serv,Unmarried,United-States,<=50K,0
6210,Private,HS-grad,9,2,HS graduate,0,Craft-repair,Not-in-family,United-States,<=50K,0
6211,Private,Masters,14,5,Graduate or professional degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
6212,Private,Some-college,10,3,Some college or associate's degree,1,Tech-support,Husband,Jamaica,>50K,1
6213,Self-emp,HS-grad,9,2,HS graduate,1,Farming-fishing,Husband,United-States,>50K,1
6214,Self-emp,Bachelors,13,4,Bachelor's degree,1,Farming-fishing,Husband,United-States,<=50K,0
6215,Private,HS-grad,9,2,HS graduate,0,Sales,Own-child,United-States,<=50K,0
6216,Private,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,>50K,1
6217,Self-emp,HS-grad,9,2,HS graduate,1,Exec-managerial,Husband,United-States,>50K,1
6218,Self-emp,Some-college,10,3,Some college or associate's degree,0,Craft-repair,Not-in-family,United-States,<=50K,0
6219,Private,Assoc-acdm,12,3,Some college or associate's degree,1,Adm-clerical,Husband,India,<=50K,0
6220,Private,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,United-States,>50K,1
6221,Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
6222,Self-emp,Masters,14,5,Graduate or professional degree,0,Sales,Not-in-family,United-States,<=50K,0
6223,Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Own-child,United-States,<=50K,0
6224,Public-sector,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Wife,United-States,>50K,1
6225,Private,Some-college,10,3,Some college or associate's degree,1,Adm-clerical,Wife,United-States,>50K,1
6226,Self-emp,HS-grad,9,2,HS graduate,0,Prof-specialty,Not-in-family,United-States,<=50K,0
6227,Private,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,>50K,1
6228,Private,HS-grad,9,2,HS graduate,0,Exec-managerial,Not-in-family,United-States,<=50K,0
6229,Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,United-States,<=50K,0
6230,Private,HS-grad,9,2,HS graduate,1,Handlers-cleaners,Husband,United-States,<=50K,0
6231,?,Some-college,10,3,Some college or associate's degree,1,?,Husband,United-States,<=50K,0
6232,Self-emp,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,<=50K,0
6233,Private,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
6234,Self-emp,7th-8th,4,1,Less than HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
6235,Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
6236,Private,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,>50K,1
6237,Self-emp,7th-8th,4,1,Less than HS graduate,1,Farming-fishing,Husband,United-States,<=50K,0
6238,Private,HS-grad,9,2,HS graduate,0,Handlers-cleaners,Not-in-family,United-States,<=50K,0
6239,Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Other-relative,United-States,<=50K,0
6240,Private,HS-grad,9,2,HS graduate,1,Sales,Husband,United-States,<=50K,0
6241,Private,Assoc-acdm,12,3,Some college or associate's degree,1,Prof-specialty,Own-child,United-States,<=50K,0
6242,Private,Some-college,10,3,Some college or associate's degree,0,Prof-specialty,Not-in-family,?,<=50K,0
6243,Private,Assoc-voc,11,3,Some college or associate's degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
6244,Private,11th,7,1,Less than HS graduate,0,Other-service,Own-child,United-States,<=50K,0
6245,Self-emp,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,>50K,1
6246,Private,Some-college,10,3,Some college or associate's degree,0,Craft-repair,Own-child,Mexico,<=50K,0
6247,Private,10th,6,1,Less than HS graduate,0,Sales,Own-child,United-States,<=50K,0
6248,Private,HS-grad,9,2,HS graduate,1,Exec-managerial,Husband,United-States,<=50K,0
6249,Private,Bachelors,13,4,Bachelor's degree,0,Adm-clerical,Own-child,United-States,<=50K,0
6250,Private,Bachelors,13,4,Bachelor's degree,1,Craft-repair,Husband,United-States,>50K,1
6251,Private,Bachelors,13,4,Bachelor's degree,0,Sales,Own-child,United-States,<=50K,0
6252,Private,Some-college,10,3,Some college or associate's degree,0,Sales,Own-child,United-States,<=50K,0
6253,Private,HS-grad,9,2,HS graduate,0,Sales,Unmarried,United-States,<=50K,0
6254,Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,United-States,<=50K,0
6255,Self-emp,10th,6,1,Less than HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
6256,Private,HS-grad,9,2,HS graduate,1,Exec-managerial,Husband,United-States,>50K,1
6257,Private,HS-grad,9,2,HS graduate,0,Other-service,Own-child,United-States,<=50K,0
6258,Private,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
6259,Public-sector,Some-college,10,3,Some college or associate's degree,0,Protective-serv,Not-in-family,United-States,<=50K,0
6260,Private,HS-grad,9,2,HS graduate,0,Craft-repair,Other-relative,United-States,<=50K,0
6261,Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Unmarried,United-States,<=50K,0
6262,Private,Some-college,10,3,Some college or associate's degree,0,Handlers-cleaners,Own-child,United-States,<=50K,0
6263,Self-emp,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,<=50K,0
6264,Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,>50K,1
6265,Self-emp,7th-8th,4,1,Less than HS graduate,1,Farming-fishing,Husband,United-States,<=50K,0
6266,Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
6267,Self-emp,11th,7,1,Less than HS graduate,0,Other-service,Own-child,United-States,<=50K,0
6268,Private,Some-college,10,3,Some college or associate's degree,0,Other-service,Own-child,United-States,<=50K,0
6269,Private,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Other-relative,Philippines,<=50K,0
6270,Private,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,<=50K,0
6271,Private,9th,5,1,Less than HS graduate,0,Adm-clerical,Unmarried,United-States,<=50K,0
6272,Private,Some-college,10,3,Some college or associate's degree,0,Sales,Own-child,United-States,<=50K,0
6273,Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Own-child,United-States,<=50K,0
6274,Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,Mexico,<=50K,0
6275,Self-emp,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,United-States,<=50K,0
6276,Private,Some-college,10,3,Some college or associate's degree,0,Protective-serv,Own-child,United-States,<=50K,0
6277,Public-sector,HS-grad,9,2,HS graduate,0,Protective-serv,Not-in-family,United-States,<=50K,0
6278,Public-sector,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
6279,Self-emp,Prof-school,15,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,<=50K,0
6280,Private,10th,6,1,Less than HS graduate,0,Craft-repair,Not-in-family,United-States,<=50K,0
6281,Private,Doctorate,16,5,Graduate or professional degree,1,Exec-managerial,Husband,United-States,>50K,1
6282,Private,Some-college,10,3,Some college or associate's degree,1,Transport-moving,Husband,United-States,<=50K,0
6283,Private,12th,8,1,Less than HS graduate,0,Sales,Own-child,United-States,<=50K,0
6284,?,HS-grad,9,2,HS graduate,0,?,Not-in-family,United-States,<=50K,0
6285,?,Some-college,10,3,Some college or associate's degree,0,?,Own-child,United-States,<=50K,0
6286,Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
6287,Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,United-States,<=50K,0
6288,Private,Some-college,10,3,Some college or associate's degree,0,Exec-managerial,Not-in-family,Jamaica,<=50K,0
6289,Self-emp,HS-grad,9,2,HS graduate,1,Sales,Husband,United-States,>50K,1
6290,Private,HS-grad,9,2,HS graduate,0,Sales,Not-in-family,United-States,<=50K,0
6291,Private,HS-grad,9,2,HS graduate,1,Adm-clerical,Husband,United-States,>50K,1
6292,Private,HS-grad,9,2,HS graduate,0,Sales,Own-child,United-States,<=50K,0
6293,Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,United-States,<=50K,0
6294,Private,Some-college,10,3,Some college or associate's degree,0,Other-service,Unmarried,United-States,<=50K,0
6295,Self-emp,Masters,14,5,Graduate or professional degree,1,Exec-managerial,Wife,Iran,>50K,1
6296,Private,HS-grad,9,2,HS graduate,0,Prof-specialty,Not-in-family,United-States,<=50K,0
6297,Public-sector,Some-college,10,3,Some college or associate's degree,0,Other-service,Unmarried,United-States,<=50K,0
6298,Private,HS-grad,9,2,HS graduate,0,Other-service,Not-in-family,United-States,<=50K,0
6299,Private,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
6300,Self-emp,Some-college,10,3,Some college or associate's degree,0,Craft-repair,Not-in-family,United-States,<=50K,0
6301,Self-emp,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
6302,Private,Some-college,10,3,Some college or associate's degree,1,Machine-op-inspct,Husband,United-States,<=50K,0
6303,Private,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,United-States,>50K,1
6304,Public-sector,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
6305,Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Own-child,United-States,<=50K,0
6306,Private,HS-grad,9,2,HS graduate,1,Transport-moving,Husband,United-States,<=50K,0
6307,Private,11th,7,1,Less than HS graduate,1,Sales,Husband,United-States,<=50K,0
6308,Private,Some-college,10,3,Some college or associate's degree,0,Exec-managerial,Not-in-family,United-States,<=50K,0
6309,Private,Some-college,10,3,Some college or associate's degree,0,Sales,Not-in-family,United-States,<=50K,0
6310,Private,Bachelors,13,4,Bachelor's degree,1,Tech-support,Wife,United-States,>50K,1
6311,Private,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,<=50K,0
6312,Private,11th,7,1,Less than HS graduate,0,Sales,Own-child,United-States,<=50K,0
6313,Private,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Not-in-family,United-States,>50K,1
6314,?,HS-grad,9,2,HS graduate,1,?,Husband,Philippines,<=50K,0
6315,Public-sector,HS-grad,9,2,HS graduate,0,Exec-managerial,Unmarried,United-States,<=50K,0
6316,Public-sector,HS-grad,9,2,HS graduate,0,Other-service,Own-child,United-States,<=50K,0
6317,Private,Bachelors,13,4,Bachelor's degree,0,Adm-clerical,Unmarried,United-States,<=50K,0
6318,Private,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,Germany,<=50K,0
6319,Private,HS-grad,9,2,HS graduate,1,Other-service,Not-in-family,?,<=50K,0
6320,Private,Assoc-voc,11,3,Some college or associate's degree,1,Exec-managerial,Husband,United-States,<=50K,0
6321,Private,Some-college,10,3,Some college or associate's degree,0,Sales,Own-child,India,<=50K,0
6322,Self-emp,Some-college,10,3,Some college or associate's degree,1,Farming-fishing,Husband,United-States,<=50K,0
6323,Private,Some-college,10,3,Some college or associate's degree,0,Tech-support,Own-child,United-States,<=50K,0
6324,Private,Masters,14,5,Graduate or professional degree,1,Sales,Husband,United-States,>50K,1
6325,Private,Assoc-acdm,12,3,Some college or associate's degree,1,Prof-specialty,Husband,United-States,>50K,1
6326,Self-emp,HS-grad,9,2,HS graduate,0,Other-service,Unmarried,United-States,<=50K,0
6327,Private,Bachelors,13,4,Bachelor's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
6328,Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Own-child,Yugoslavia,<=50K,0
6329,Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
6330,Private,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,>50K,1
6331,Private,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Wife,Puerto-Rico,>50K,1
6332,Private,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,>50K,1
6333,Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Unmarried,United-States,<=50K,0
6334,Private,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Not-in-family,United-States,>50K,1
6335,Private,HS-grad,9,2,HS graduate,1,Sales,Wife,United-States,<=50K,0
6336,Public-sector,Masters,14,5,Graduate or professional degree,0,Prof-specialty,Unmarried,United-States,<=50K,0
6337,Private,HS-grad,9,2,HS graduate,1,Transport-moving,Husband,Canada,>50K,1
6338,Public-sector,HS-grad,9,2,HS graduate,0,Protective-serv,Own-child,United-States,<=50K,0
6339,Private,Some-college,10,3,Some college or associate's degree,1,Tech-support,Wife,United-States,<=50K,0
6340,Private,Some-college,10,3,Some college or associate's degree,0,Exec-managerial,Own-child,United-States,<=50K,0
6341,Private,Bachelors,13,4,Bachelor's degree,0,Sales,Not-in-family,United-States,<=50K,0
6342,?,Some-college,10,3,Some college or associate's degree,1,?,Husband,United-States,<=50K,0
6343,Private,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,United-States,<=50K,0
6344,Public-sector,HS-grad,9,2,HS graduate,1,Adm-clerical,Husband,Germany,>50K,1
6345,Self-emp,7th-8th,4,1,Less than HS graduate,0,Craft-repair,Unmarried,United-States,<=50K,0
6346,Private,Assoc-voc,11,3,Some college or associate's degree,0,Exec-managerial,Own-child,United-States,<=50K,0
6347,Private,Bachelors,13,4,Bachelor's degree,0,Sales,Not-in-family,United-States,<=50K,0
6348,Private,HS-grad,9,2,HS graduate,0,Sales,Other-relative,United-States,<=50K,0
6349,Public-sector,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
6350,Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Unmarried,United-States,<=50K,0
6351,?,11th,7,1,Less than HS graduate,0,?,Unmarried,United-States,<=50K,0
6352,Public-sector,Assoc-acdm,12,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,>50K,1
6353,Private,HS-grad,9,2,HS graduate,1,Transport-moving,Husband,United-States,<=50K,0
6354,Private,Assoc-voc,11,3,Some college or associate's degree,1,Adm-clerical,Wife,United-States,<=50K,0
6355,Private,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,United-States,<=50K,0
6356,Self-emp,Bachelors,13,4,Bachelor's degree,0,Sales,Not-in-family,United-States,<=50K,0
6357,Private,HS-grad,9,2,HS graduate,0,Craft-repair,Not-in-family,United-States,<=50K,0
6358,Public-sector,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,United-States,<=50K,0
6359,Public-sector,Doctorate,16,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
6360,Private,HS-grad,9,2,HS graduate,0,Priv-house-serv,Not-in-family,?,<=50K,0
6361,Private,Assoc-acdm,12,3,Some college or associate's degree,0,Exec-managerial,Not-in-family,United-States,<=50K,0
6362,Private,Bachelors,13,4,Bachelor's degree,1,Machine-op-inspct,Husband,United-States,<=50K,0
6363,Public-sector,HS-grad,9,2,HS graduate,1,Farming-fishing,Husband,United-States,<=50K,0
6364,Private,Assoc-acdm,12,3,Some college or associate's degree,0,Exec-managerial,Unmarried,?,<=50K,0
6365,Public-sector,HS-grad,9,2,HS graduate,1,Adm-clerical,Husband,United-States,<=50K,0
6366,Private,HS-grad,9,2,HS graduate,0,Machine-op-inspct,Not-in-family,United-States,<=50K,0
6367,Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Unmarried,United-States,<=50K,0
6368,Private,HS-grad,9,2,HS graduate,0,Handlers-cleaners,Own-child,United-States,<=50K,0
6369,Private,Some-college,10,3,Some college or associate's degree,1,Transport-moving,Husband,United-States,>50K,1
6370,Private,Bachelors,13,4,Bachelor's degree,0,Adm-clerical,Unmarried,United-States,<=50K,0
6371,Private,Assoc-voc,11,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,<=50K,0
6372,Private,HS-grad,9,2,HS graduate,0,Exec-managerial,Not-in-family,United-States,<=50K,0
6373,Self-emp,HS-grad,9,2,HS graduate,1,Farming-fishing,Husband,United-States,>50K,1
6374,Private,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Not-in-family,United-States,<=50K,0
6375,Self-emp,HS-grad,9,2,HS graduate,1,Farming-fishing,Husband,United-States,<=50K,0
6376,Private,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Own-child,?,<=50K,0
6377,Private,11th,7,1,Less than HS graduate,1,Transport-moving,Husband,United-States,<=50K,0
6378,Self-emp,Prof-school,15,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
6379,Private,Bachelors,13,4,Bachelor's degree,0,Adm-clerical,Not-in-family,United-States,>50K,1
6380,Private,HS-grad,9,2,HS graduate,0,Transport-moving,Not-in-family,United-States,<=50K,0
6381,Private,HS-grad,9,2,HS graduate,1,Other-service,Husband,United-States,<=50K,0
6382,Self-emp,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,United-States,>50K,1
6383,Self-emp,Masters,14,5,Graduate or professional degree,1,Exec-managerial,Husband,United-States,>50K,1
6384,Private,Some-college,10,3,Some college or associate's degree,1,Prof-specialty,Husband,United-States,>50K,1
6385,Self-emp,Some-college,10,3,Some college or associate's degree,0,Exec-managerial,Unmarried,United-States,<=50K,0
6386,Private,12th,8,1,Less than HS graduate,0,Other-service,Own-child,United-States,<=50K,0
6387,Private,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Husband,China,<=50K,0
6388,Private,HS-grad,9,2,HS graduate,0,Craft-repair,Not-in-family,United-States,<=50K,0
6389,Private,11th,7,1,Less than HS graduate,0,Handlers-cleaners,Own-child,United-States,<=50K,0
6390,Self-emp,11th,7,1,Less than HS graduate,1,Farming-fishing,Husband,United-States,<=50K,0
6391,Public-sector,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Wife,United-States,>50K,1
6392,Public-sector,Some-college,10,3,Some college or associate's degree,0,Prof-specialty,Not-in-family,United-States,>50K,1
6393,Private,9th,5,1,Less than HS graduate,0,Priv-house-serv,Unmarried,Mexico,<=50K,0
6394,Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Own-child,United-States,<=50K,0
6395,Public-sector,Bachelors,13,4,Bachelor's degree,0,Tech-support,Own-child,?,<=50K,0
6396,Private,Some-college,10,3,Some college or associate's degree,0,Handlers-cleaners,Own-child,United-States,<=50K,0
6397,Private,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,<=50K,0
6398,Private,Assoc-voc,11,3,Some college or associate's degree,0,Other-service,Not-in-family,United-States,<=50K,0
6399,Self-emp,HS-grad,9,2,HS graduate,0,Transport-moving,Own-child,United-States,<=50K,0
6400,Public-sector,Bachelors,13,4,Bachelor's degree,0,Tech-support,Own-child,United-States,<=50K,0
6401,Private,Bachelors,13,4,Bachelor's degree,0,Adm-clerical,Unmarried,United-States,<=50K,0
6402,Private,Some-college,10,3,Some college or associate's degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
6403,Private,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
6404,Self-emp,HS-grad,9,2,HS graduate,0,Farming-fishing,Own-child,United-States,<=50K,0
6405,Private,9th,5,1,Less than HS graduate,0,Other-service,Not-in-family,United-States,<=50K,0
6406,Private,HS-grad,9,2,HS graduate,1,Sales,Husband,United-States,>50K,1
6407,?,Some-college,10,3,Some college or associate's degree,0,?,Own-child,United-States,<=50K,0
6408,Private,HS-grad,9,2,HS graduate,0,Sales,Not-in-family,United-States,<=50K,0
6409,Private,Some-college,10,3,Some college or associate's degree,0,Exec-managerial,Own-child,United-States,<=50K,0
6410,Private,11th,7,1,Less than HS graduate,0,Other-service,Own-child,United-States,<=50K,0
6411,Self-emp,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
6412,Private,12th,8,1,Less than HS graduate,0,Handlers-cleaners,Own-child,United-States,<=50K,0
