p_id,age,workclass,fnlwgt,education,education_num,education_cat_lev,education_cat,marital_status,occupation,relationship,capital_gain,capital_loss,hours_per_week,native_country,income,income_lev,race_Amer-Indian-Eskimo,race_Asian-Pac-Islander,race_Black,race_Other,sex_Male
6948,60,?,124487,Some-college,10,3,Some college or associate's degree,0,?,Not-in-family,0,0,40,United-States,>50K,1,0,0,0,0,0
6949,33,Private,111363,Bachelors,13,4,Bachelor's degree,1,Craft-repair,Husband,0,0,45,United-States,<=50K,0,0,0,0,0,1
6950,38,Private,107630,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
6951,26,Private,134287,Assoc-voc,11,3,Some college or associate's degree,0,Sales,Own-child,0,0,35,United-States,<=50K,0,0,0,0,0,0
6952,46,Self-emp,283004,Assoc-voc,11,3,Some college or associate's degree,0,Exec-managerial,Unmarried,0,0,63,Thailand,<=50K,0,0,1,0,0,0
6953,24,Private,33616,HS-grad,9,2,HS graduate,0,Other-service,Unmarried,0,0,35,United-States,<=50K,0,0,0,0,0,0
6954,47,Public-sector,121124,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Husband,0,0,35,United-States,>50K,1,0,0,0,0,1
6955,27,Private,188189,Some-college,10,3,Some college or associate's degree,0,Tech-support,Not-in-family,0,0,30,United-States,<=50K,0,0,0,0,0,0
6956,46,Private,106255,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
6957,47,Public-sector,282830,Assoc-acdm,12,3,Some college or associate's degree,1,Adm-clerical,Husband,0,0,40,United-States,>50K,1,0,0,1,0,1
6958,47,Private,243904,HS-grad,9,2,HS graduate,0,Adm-clerical,Unmarried,0,0,40,Honduras,<=50K,0,0,0,0,0,1
6959,69,Private,165017,HS-grad,9,2,HS graduate,0,Machine-op-inspct,Unmarried,2538,0,40,United-States,<=50K,0,0,0,0,0,1
6960,32,Private,131584,HS-grad,9,2,HS graduate,1,Sales,Husband,7298,0,40,United-States,>50K,1,0,0,0,0,1
6961,51,Private,427781,HS-grad,9,2,HS graduate,1,Transport-moving,Husband,0,0,40,United-States,<=50K,0,0,0,1,0,1
6962,36,Private,334291,HS-grad,9,2,HS graduate,1,Sales,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
6963,50,Public-sector,173224,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Wife,0,0,40,United-States,<=50K,0,0,0,0,0,0
6964,29,Private,87507,Doctorate,16,5,Graduate or professional degree,1,Prof-specialty,Husband,0,0,60,India,<=50K,0,0,1,0,0,1
6965,32,Private,187560,Prof-school,15,5,Graduate or professional degree,1,Prof-specialty,Husband,3908,0,40,United-States,<=50K,0,0,0,0,0,1
6966,27,Private,204497,10th,6,1,Less than HS graduate,0,Transport-moving,Not-in-family,0,0,75,United-States,<=50K,0,1,0,0,0,1
6967,60,Private,230545,7th-8th,4,1,Less than HS graduate,0,Adm-clerical,Not-in-family,0,0,35,Cuba,<=50K,0,0,0,0,0,0
6968,31,Private,118161,HS-grad,9,2,HS graduate,1,Other-service,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
6969,46,Private,150499,Assoc-acdm,12,3,Some college or associate's degree,1,Craft-repair,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
6970,40,Public-sector,96554,HS-grad,9,2,HS graduate,0,Adm-clerical,Own-child,0,0,40,United-States,<=50K,0,0,0,0,0,0
6971,39,Private,288551,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,0,0,52,United-States,>50K,1,0,0,1,0,1
6972,69,Self-emp,104003,7th-8th,4,1,Less than HS graduate,1,Sales,Husband,0,0,55,United-States,<=50K,0,0,0,0,0,1
6973,54,Self-emp,124963,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
6974,56,Private,198388,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,0
6975,47,Public-sector,126204,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,0
6976,25,Private,91709,Assoc-acdm,12,3,Some college or associate's degree,0,Tech-support,Not-in-family,0,0,45,United-States,<=50K,0,0,0,0,0,0
6977,34,Self-emp,152109,HS-grad,9,2,HS graduate,1,Transport-moving,Husband,0,0,60,United-States,<=50K,0,0,0,0,0,1
6978,24,Self-emp,191954,7th-8th,4,1,Less than HS graduate,0,Farming-fishing,Own-child,0,0,50,United-States,<=50K,0,0,0,0,0,1
6979,63,Private,108097,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,10566,0,45,United-States,<=50K,0,0,0,0,0,1
6980,29,Public-sector,289991,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Husband,0,0,50,United-States,<=50K,0,0,0,0,0,1
6981,64,Private,92115,Some-college,10,3,Some college or associate's degree,1,Adm-clerical,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
6982,44,Private,320277,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,1
6983,26,Private,33610,HS-grad,9,2,HS graduate,0,Craft-repair,Other-relative,0,0,60,United-States,<=50K,0,0,0,0,0,1
6984,36,Private,168276,10th,6,1,Less than HS graduate,0,Other-service,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,0
6985,55,Public-sector,175127,Bachelors,13,4,Bachelor's degree,1,Adm-clerical,Husband,7688,0,38,United-States,>50K,1,0,0,0,0,1
6986,37,Private,254973,HS-grad,9,2,HS graduate,1,Handlers-cleaners,Wife,0,0,40,United-States,>50K,1,0,0,0,0,0
6987,37,Private,95336,10th,6,1,Less than HS graduate,0,Machine-op-inspct,Not-in-family,0,0,65,United-States,<=50K,0,0,0,0,0,1
6988,63,Private,346975,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Wife,7688,0,36,United-States,>50K,1,0,0,0,0,0
6989,33,Private,227282,HS-grad,9,2,HS graduate,1,Transport-moving,Husband,0,0,60,United-States,<=50K,0,0,0,0,0,1
6990,19,Private,138153,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Own-child,0,0,10,United-States,<=50K,0,0,0,0,0,0
6991,57,Public-sector,174132,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Wife,0,1977,40,United-States,>50K,1,0,0,1,0,0
6992,31,Private,182237,Assoc-acdm,12,3,Some college or associate's degree,1,Sales,Husband,4386,0,45,United-States,>50K,1,0,0,0,0,1
6993,20,?,111252,Some-college,10,3,Some college or associate's degree,0,?,Own-child,0,0,30,United-States,<=50K,0,0,0,0,0,0
6994,58,Public-sector,217775,HS-grad,9,2,HS graduate,1,Exec-managerial,Husband,7298,0,40,United-States,>50K,1,0,0,0,0,1
6995,20,?,168863,Some-college,10,3,Some college or associate's degree,0,?,Own-child,0,0,20,United-States,<=50K,0,0,0,0,0,0
6996,25,Private,394503,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
6997,40,Private,141657,HS-grad,9,2,HS graduate,0,Adm-clerical,Unmarried,0,0,40,United-States,<=50K,0,0,0,0,0,0
6998,18,Private,125441,11th,7,1,Less than HS graduate,0,Other-service,Own-child,1055,0,20,United-States,<=50K,0,0,0,0,0,1
6999,26,Private,172230,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,1
7000,29,Private,282944,Doctorate,16,5,Graduate or professional degree,1,Prof-specialty,Husband,0,0,50,United-States,>50K,1,0,0,0,0,1
7001,45,Public-sector,55377,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,0,0,40,United-States,<=50K,0,0,0,1,0,1
7002,35,Public-sector,49352,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Own-child,0,0,38,United-States,<=50K,0,0,0,0,0,0
7003,32,Private,213887,Some-college,10,3,Some college or associate's degree,0,Machine-op-inspct,Unmarried,0,0,45,United-States,<=50K,0,0,0,0,0,1
7004,61,Self-emp,24046,HS-grad,9,2,HS graduate,0,Other-service,Other-relative,0,0,40,United-States,<=50K,0,0,0,0,0,0
7005,26,Public-sector,208122,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Not-in-family,0,0,15,United-States,<=50K,0,0,0,0,0,1
7006,56,Private,176118,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,3103,0,40,United-States,>50K,1,0,0,0,0,1
7007,22,Private,227994,Some-college,10,3,Some college or associate's degree,1,Adm-clerical,Own-child,0,0,39,United-States,<=50K,0,0,1,0,0,0
7008,49,Private,215389,Bachelors,13,4,Bachelor's degree,1,Machine-op-inspct,Husband,0,0,48,United-States,<=50K,0,0,0,1,0,1
7009,40,Private,99434,HS-grad,9,2,HS graduate,1,Other-service,Wife,0,0,12,United-States,<=50K,0,0,0,0,0,0
7010,37,Private,190964,HS-grad,9,2,HS graduate,0,Exec-managerial,Own-child,0,0,40,United-States,<=50K,0,0,0,0,0,1
7011,23,?,113700,Bachelors,13,4,Bachelor's degree,0,?,Own-child,0,0,50,United-States,<=50K,0,0,0,0,0,1
7012,28,Private,259840,Bachelors,13,4,Bachelor's degree,1,Sales,Husband,0,0,60,United-States,>50K,1,0,0,0,0,1
7013,27,Private,168827,HS-grad,9,2,HS graduate,1,Machine-op-inspct,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
7014,34,Self-emp,28984,Assoc-voc,11,3,Some college or associate's degree,0,Sales,Unmarried,0,0,40,United-States,<=50K,0,0,0,0,0,0
7015,49,Private,182211,9th,5,1,Less than HS graduate,1,Handlers-cleaners,Husband,0,0,45,United-States,<=50K,0,0,0,0,0,1
7016,41,Private,82393,Some-college,10,3,Some college or associate's degree,0,Craft-repair,Own-child,0,0,40,United-States,<=50K,0,0,1,0,0,1
7017,28,Private,183639,Bachelors,13,4,Bachelor's degree,0,Adm-clerical,Not-in-family,0,0,21,United-States,<=50K,0,0,0,0,0,1
7018,38,Private,342448,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,0,0,55,United-States,>50K,1,0,0,0,0,1
7019,47,Public-sector,469907,Assoc-acdm,12,3,Some college or associate's degree,1,Protective-serv,Husband,0,1740,40,United-States,<=50K,0,0,0,0,0,1
7020,28,Public-sector,211920,HS-grad,9,2,HS graduate,1,Protective-serv,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
7021,44,Public-sector,33658,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Husband,7688,0,50,United-States,>50K,1,0,0,0,0,1
7022,41,Public-sector,34178,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,1
7023,50,Private,400630,Prof-school,15,5,Graduate or professional degree,1,Prof-specialty,Husband,0,0,36,United-States,>50K,1,0,0,0,0,1
7024,73,Self-emp,161251,HS-grad,9,2,HS graduate,0,Craft-repair,Not-in-family,0,0,24,United-States,<=50K,0,0,0,0,0,1
7025,21,Private,255685,Some-college,10,3,Some college or associate's degree,0,Other-service,Own-child,0,0,40,Outlying-US(Guam-USVI-etc),<=50K,0,0,0,1,0,1
7026,38,Private,199256,HS-grad,9,2,HS graduate,0,Adm-clerical,Unmarried,0,0,40,United-States,<=50K,0,0,0,0,0,0
7027,64,?,143716,Masters,14,5,Graduate or professional degree,1,?,Husband,0,0,2,United-States,<=50K,0,0,0,0,0,1
7028,47,Private,221666,Some-college,10,3,Some college or associate's degree,0,Tech-support,Unmarried,0,0,40,United-States,<=50K,0,0,0,0,0,0
7029,52,Private,145409,Some-college,10,3,Some college or associate's degree,1,Transport-moving,Husband,15024,0,60,Canada,>50K,1,0,0,0,0,1
7030,24,Private,39615,Bachelors,13,4,Bachelor's degree,0,Sales,Not-in-family,0,0,45,United-States,<=50K,0,0,0,0,0,1
7031,44,Private,104440,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
7032,27,Private,151382,7th-8th,4,1,Less than HS graduate,0,Machine-op-inspct,Unmarried,0,974,40,United-States,<=50K,0,0,0,0,0,1
7033,61,Self-emp,503675,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,0,0,60,United-States,>50K,1,0,0,1,0,1
7034,58,Private,306233,Bachelors,13,4,Bachelor's degree,1,Sales,Husband,15024,0,40,United-States,>50K,1,0,0,0,0,1
7035,51,Private,216475,Bachelors,13,4,Bachelor's degree,0,Sales,Not-in-family,0,1564,43,United-States,>50K,1,0,0,0,0,0
7036,49,Private,50748,Some-college,10,3,Some college or associate's degree,0,Sales,Unmarried,0,0,55,England,<=50K,0,0,0,0,0,0
7037,23,Private,107190,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Own-child,0,0,20,United-States,<=50K,0,0,0,1,0,1
7038,19,Private,206874,Assoc-voc,11,3,Some college or associate's degree,0,Adm-clerical,Own-child,0,0,40,United-States,<=50K,0,0,0,1,0,0
7039,21,Private,83141,HS-grad,9,2,HS graduate,0,Farming-fishing,Not-in-family,0,0,53,United-States,<=50K,0,0,0,0,0,1
7040,56,Private,444089,11th,7,1,Less than HS graduate,0,Sales,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,0
7041,35,Private,141896,12th,8,1,Less than HS graduate,1,Craft-repair,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
7042,37,Public-sector,33487,Some-college,10,3,Some college or associate's degree,0,Tech-support,Unmarried,0,0,20,United-States,<=50K,0,1,0,0,0,0
7043,41,Private,65372,Doctorate,16,5,Graduate or professional degree,0,Sales,Unmarried,0,0,50,United-States,>50K,1,0,0,0,0,0
7044,30,Private,341346,11th,7,1,Less than HS graduate,1,Sales,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
7045,35,Private,343403,Doctorate,16,5,Graduate or professional degree,1,Tech-support,Wife,0,0,20,?,<=50K,0,0,0,0,0,0
7046,47,Private,287480,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
7047,59,Self-emp,107287,10th,6,1,Less than HS graduate,0,Exec-managerial,Unmarried,0,2559,50,United-States,>50K,1,0,0,0,0,0
7048,55,Private,199067,11th,7,1,Less than HS graduate,1,Machine-op-inspct,Husband,0,0,32,United-States,<=50K,0,0,0,0,0,1
7049,22,?,182771,Assoc-voc,11,3,Some college or associate's degree,0,?,Own-child,0,0,20,United-States,<=50K,0,0,1,0,0,1
7050,31,Private,159737,10th,6,1,Less than HS graduate,0,Adm-clerical,Unmarried,0,0,40,United-States,<=50K,0,0,0,1,0,0
7051,30,Private,110643,Masters,14,5,Graduate or professional degree,1,Adm-clerical,Husband,4386,0,40,United-States,>50K,1,0,0,0,0,1
7052,24,Private,117583,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Own-child,0,0,48,United-States,<=50K,0,0,0,0,0,1
7053,49,Self-emp,43479,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
7054,23,Private,203003,7th-8th,4,1,Less than HS graduate,0,Craft-repair,Not-in-family,0,0,25,Germany,<=50K,0,0,0,0,0,1
7055,50,Private,133963,HS-grad,9,2,HS graduate,0,Adm-clerical,Unmarried,0,0,35,United-States,<=50K,0,0,0,0,0,0
7056,38,Private,227794,Bachelors,13,4,Bachelor's degree,0,Adm-clerical,Not-in-family,0,0,40,United-States,<=50K,0,0,0,1,0,1
7057,20,Self-emp,112137,Some-college,10,3,Some college or associate's degree,0,Prof-specialty,Other-relative,0,0,20,South,<=50K,0,0,1,0,0,0
7058,49,Self-emp,110457,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,0,0,50,United-States,>50K,1,0,0,0,0,1
7059,45,Private,281565,HS-grad,9,2,HS graduate,0,Other-service,Other-relative,0,0,50,South,<=50K,0,0,1,0,0,0
7060,46,Public-sector,297906,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,0,0,50,United-States,>50K,1,0,1,0,0,1
7061,19,Private,151506,HS-grad,9,2,HS graduate,0,Other-service,Own-child,0,0,30,United-States,<=50K,0,0,0,0,0,0
7062,31,Public-sector,139455,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Own-child,0,0,40,Cuba,<=50K,0,0,0,0,0,0
7063,38,Private,26987,HS-grad,9,2,HS graduate,0,Other-service,Unmarried,0,0,40,United-States,<=50K,0,0,0,0,0,0
7064,56,Self-emp,233312,Masters,14,5,Graduate or professional degree,1,Craft-repair,Husband,0,0,50,United-States,>50K,1,0,0,0,0,1
7065,24,Private,161092,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Own-child,0,0,40,United-States,<=50K,0,0,0,0,0,1
7066,58,Public-sector,98361,HS-grad,9,2,HS graduate,1,Exec-managerial,Husband,0,0,50,United-States,<=50K,0,0,0,0,0,1
7067,28,Private,188928,HS-grad,9,2,HS graduate,1,Other-service,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
7068,22,Private,164922,HS-grad,9,2,HS graduate,1,Other-service,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
7069,46,Private,185673,HS-grad,9,2,HS graduate,0,Transport-moving,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,1
7070,30,Private,193598,Preschool,1,1,Less than HS graduate,0,Farming-fishing,Not-in-family,0,0,40,Mexico,<=50K,0,0,0,0,0,1
7071,56,Private,274111,Bachelors,13,4,Bachelor's degree,1,Adm-clerical,Husband,0,0,45,United-States,>50K,1,0,0,0,0,1
7072,32,Private,245482,HS-grad,9,2,HS graduate,1,Machine-op-inspct,Husband,0,0,40,?,<=50K,0,0,1,0,0,1
7073,56,Private,160932,HS-grad,9,2,HS graduate,1,Transport-moving,Husband,0,0,44,United-States,>50K,1,0,0,0,0,1
7074,50,Private,44368,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
7075,28,?,291374,HS-grad,9,2,HS graduate,0,?,Unmarried,0,0,30,United-States,<=50K,0,0,0,1,0,0
7076,30,Private,280927,Bachelors,13,4,Bachelor's degree,0,Adm-clerical,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,0
7077,24,Private,222993,HS-grad,9,2,HS graduate,0,Machine-op-inspct,Own-child,0,0,40,United-States,<=50K,0,0,0,0,0,1
7078,42,Public-sector,25240,Assoc-voc,11,3,Some college or associate's degree,0,Prof-specialty,Unmarried,0,0,40,United-States,<=50K,0,1,0,0,0,0
7079,31,Self-emp,204052,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
7080,18,Private,74054,11th,7,1,Less than HS graduate,0,Sales,Own-child,0,0,20,?,<=50K,0,0,0,0,1,0
7081,46,Private,169042,10th,6,1,Less than HS graduate,0,Other-service,Not-in-family,0,0,25,Ecuador,<=50K,0,0,0,0,0,0
7082,31,Private,104509,Bachelors,13,4,Bachelor's degree,0,Sales,Not-in-family,0,0,65,United-States,>50K,1,0,0,0,0,0
7083,38,Public-sector,185394,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Wife,7688,0,40,United-States,>50K,1,0,0,0,0,0
7084,44,Public-sector,254146,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
7085,55,Self-emp,227856,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,0,2415,50,United-States,>50K,1,0,0,0,0,1
7086,19,Private,183041,HS-grad,9,2,HS graduate,0,Other-service,Own-child,0,0,20,United-States,<=50K,0,0,0,0,0,1
7087,45,Private,107682,Masters,14,5,Graduate or professional degree,0,Exec-managerial,Not-in-family,0,0,40,United-States,>50K,1,0,0,0,0,0
7088,50,Self-emp,287598,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,0,0,70,United-States,<=50K,0,0,0,0,0,1
7089,53,Private,182186,9th,5,1,Less than HS graduate,1,Other-service,Husband,0,0,40,Dominican-Republic,<=50K,0,0,0,0,0,1
7090,41,Self-emp,194636,Bachelors,13,4,Bachelor's degree,1,Sales,Husband,99999,0,65,United-States,>50K,1,0,0,0,0,1
7091,45,Private,112305,Some-college,10,3,Some college or associate's degree,0,Other-service,Unmarried,0,0,40,United-States,<=50K,0,0,0,1,0,0
7092,21,Private,212661,10th,6,1,Less than HS graduate,0,Adm-clerical,Not-in-family,0,0,39,United-States,<=50K,0,0,0,0,0,0
7093,37,Private,32709,Bachelors,13,4,Bachelor's degree,1,Tech-support,Wife,0,0,40,United-States,>50K,1,0,0,0,0,0
7094,42,Public-sector,46366,HS-grad,9,2,HS graduate,0,Adm-clerical,Unmarried,0,0,40,United-States,<=50K,0,0,0,1,0,0
7095,37,Self-emp,24106,HS-grad,9,2,HS graduate,1,Tech-support,Husband,0,0,30,United-States,<=50K,0,0,0,0,0,1
7096,46,Private,170850,Bachelors,13,4,Bachelor's degree,0,Machine-op-inspct,Not-in-family,0,1590,40,?,<=50K,0,0,0,0,0,1
7097,45,Self-emp,40666,Assoc-voc,11,3,Some college or associate's degree,1,Farming-fishing,Husband,0,0,60,United-States,<=50K,0,0,0,0,0,1
7098,32,Private,182975,Some-college,10,3,Some college or associate's degree,0,Tech-support,Not-in-family,0,0,20,United-States,<=50K,0,0,0,0,0,0
7099,30,Private,345122,Prof-school,15,5,Graduate or professional degree,1,Prof-specialty,Husband,0,0,50,United-States,<=50K,0,0,0,0,0,1
7100,57,?,208311,Bachelors,13,4,Bachelor's degree,1,?,Husband,0,0,80,United-States,>50K,1,0,0,0,0,1
7101,37,Private,120045,HS-grad,9,2,HS graduate,0,Machine-op-inspct,Not-in-family,0,0,56,United-States,<=50K,0,0,0,0,0,0
7102,18,?,201299,Some-college,10,3,Some college or associate's degree,0,?,Own-child,0,0,40,United-States,<=50K,0,0,0,0,0,0
7103,32,Private,152940,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
7104,43,Private,243580,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
7105,46,Private,182128,Masters,14,5,Graduate or professional degree,0,Prof-specialty,Unmarried,6497,0,50,United-States,<=50K,0,0,0,0,0,0
7106,36,?,176458,HS-grad,9,2,HS graduate,0,?,Unmarried,0,0,28,United-States,<=50K,0,0,0,0,0,0
7107,33,Private,101562,Masters,14,5,Graduate or professional degree,0,Exec-managerial,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,0
7108,48,Private,108699,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,0
7109,34,Private,175878,HS-grad,9,2,HS graduate,1,Sales,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,0
7110,34,Public-sector,177675,Some-college,10,3,Some college or associate's degree,0,Protective-serv,Not-in-family,0,0,50,United-States,>50K,1,0,0,0,0,1
7111,33,Private,213887,HS-grad,9,2,HS graduate,0,Farming-fishing,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,1
7112,36,Private,357619,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Wife,0,0,60,Germany,<=50K,0,0,0,0,0,0
7113,23,Private,435835,HS-grad,9,2,HS graduate,0,Sales,Not-in-family,0,1669,55,United-States,<=50K,0,0,0,0,0,1
7114,39,Private,165799,HS-grad,9,2,HS graduate,1,Exec-managerial,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
7115,22,Private,71469,Assoc-acdm,12,3,Some college or associate's degree,0,Sales,Own-child,0,0,25,United-States,<=50K,0,0,0,0,0,0
7116,19,Private,229745,HS-grad,9,2,HS graduate,0,Farming-fishing,Own-child,0,0,20,United-States,<=50K,0,0,0,0,0,1
7117,47,Private,284916,HS-grad,9,2,HS graduate,1,Sales,Husband,7298,0,45,United-States,>50K,1,0,0,0,0,1
7118,46,Private,28419,Assoc-voc,11,3,Some college or associate's degree,0,Transport-moving,Not-in-family,0,0,50,United-States,<=50K,0,0,0,0,0,1
7119,47,Private,26950,Masters,14,5,Graduate or professional degree,0,Sales,Not-in-family,0,0,6,United-States,<=50K,0,0,0,0,0,0
7120,47,Self-emp,107231,Doctorate,16,5,Graduate or professional degree,1,Prof-specialty,Husband,0,0,35,United-States,>50K,1,0,0,0,0,1
7121,52,Public-sector,512103,Some-college,10,3,Some college or associate's degree,0,Transport-moving,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,0
7122,38,Self-emp,245090,9th,5,1,Less than HS graduate,1,Craft-repair,Husband,0,0,40,Mexico,<=50K,0,0,0,0,0,1
7123,58,Private,314153,HS-grad,9,2,HS graduate,1,Sales,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
7124,32,Private,243988,5th-6th,3,1,Less than HS graduate,1,Other-service,Husband,0,0,40,Mexico,<=50K,0,0,0,0,0,1
7125,54,Self-emp,82551,Assoc-voc,11,3,Some college or associate's degree,1,Tech-support,Other-relative,0,0,10,United-States,<=50K,0,0,0,0,0,0
7126,20,Private,42706,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,0,0,25,United-States,<=50K,0,0,0,0,0,1
7127,25,Private,235795,Assoc-acdm,12,3,Some college or associate's degree,0,Sales,Not-in-family,0,0,48,United-States,<=50K,0,0,0,0,0,1
7128,25,Self-emp,108001,9th,5,1,Less than HS graduate,0,Craft-repair,Not-in-family,0,0,15,United-States,<=50K,0,0,0,0,0,1
7129,36,Public-sector,112497,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Not-in-family,0,1876,44,United-States,<=50K,0,0,0,0,0,1
7130,69,Self-emp,128206,HS-grad,9,2,HS graduate,1,Tech-support,Husband,0,0,30,United-States,<=50K,0,0,0,0,0,1
7131,28,Private,224634,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Wife,0,0,45,United-States,>50K,1,0,0,0,0,0
7132,20,Private,362999,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Own-child,0,0,20,United-States,<=50K,0,0,0,0,0,0
7133,21,Private,346693,7th-8th,4,1,Less than HS graduate,0,Farming-fishing,Unmarried,0,0,40,United-States,<=50K,0,0,0,0,0,1
7134,37,Private,175759,Bachelors,13,4,Bachelor's degree,1,Tech-support,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
7135,21,Private,99199,HS-grad,9,2,HS graduate,0,Machine-op-inspct,Own-child,0,0,32,United-States,<=50K,0,0,0,0,0,1
7136,25,?,219987,Assoc-acdm,12,3,Some college or associate's degree,1,?,Husband,0,0,13,United-States,<=50K,0,0,0,0,0,1
7137,39,Private,143445,HS-grad,9,2,HS graduate,1,Other-service,Other-relative,0,0,40,United-States,<=50K,0,0,0,1,0,0
7138,34,Private,118710,Assoc-voc,11,3,Some college or associate's degree,1,Other-service,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
7139,33,Public-sector,224185,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
7140,47,Private,118972,HS-grad,9,2,HS graduate,1,Transport-moving,Husband,0,0,50,United-States,>50K,1,0,0,0,0,1
7141,29,Private,165360,Assoc-voc,11,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,0
7142,48,Private,38950,HS-grad,9,2,HS graduate,1,Tech-support,Husband,0,0,89,United-States,<=50K,0,0,0,0,0,1
7143,42,Self-emp,277256,Doctorate,16,5,Graduate or professional degree,1,Prof-specialty,Husband,0,1977,60,United-States,>50K,1,0,0,0,0,1
