workclass,education,education_num,education_cat_lev,education_cat,marital_status,occupation,relationship,native_country,income,income_lev
Public-sector,10th,6,1,Less than HS graduate,1,Adm-clerical,Husband,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Other-service,Husband,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Handlers-cleaners,Own-child,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Transport-moving,Husband,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,0,Sales,Own-child,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Own-child,?,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,1,Tech-support,Husband,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,0,Other-service,Not-in-family,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Priv-house-serv,Own-child,United-States,<=50K,0
Private,Assoc-voc,11,3,Some college or associate's degree,0,Tech-support,Own-child,United-States,<=50K,0
Public-sector,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Own-child,United-States,<=50K,0
Private,5th-6th,3,1,Less than HS graduate,1,Other-service,Husband,Mexico,<=50K,0
Private,Assoc-voc,11,3,Some college or associate's degree,0,Exec-managerial,Not-in-family,England,<=50K,0
Private,12th,8,1,Less than HS graduate,0,Machine-op-inspct,Own-child,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Prof-specialty,Unmarried,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,>50K,1
Private,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Own-child,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Sales,Unmarried,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Exec-managerial,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Handlers-cleaners,Own-child,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,0,Other-service,Not-in-family,United-States,<=50K,0
Private,9th,5,1,Less than HS graduate,0,Sales,Not-in-family,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,<=50K,0
Public-sector,Some-college,10,3,Some college or associate's degree,0,Tech-support,Own-child,United-States,<=50K,0
Private,Prof-school,15,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
Private,Some-college,10,3,Some college or associate's degree,1,Adm-clerical,Husband,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Own-child,United-States,<=50K,0
Self-emp,Prof-school,15,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
Public-sector,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,>50K,1
Private,Prof-school,15,5,Graduate or professional degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
Private,Assoc-voc,11,3,Some college or associate's degree,1,Farming-fishing,Husband,United-States,>50K,1
Private,9th,5,1,Less than HS graduate,1,Machine-op-inspct,Other-relative,China,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Other-service,Not-in-family,Haiti,<=50K,0
Public-sector,12th,8,1,Less than HS graduate,0,Adm-clerical,Not-in-family,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,1,Handlers-cleaners,Husband,United-States,<=50K,0
Self-emp,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,Puerto-Rico,>50K,1
Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
Private,Assoc-voc,11,3,Some college or associate's degree,1,Transport-moving,Husband,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Sales,Husband,United-States,<=50K,0
Private,Assoc-voc,11,3,Some college or associate's degree,0,Adm-clerical,Own-child,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Prof-specialty,Own-child,United-States,<=50K,0
Private,Assoc-acdm,12,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
Self-emp,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,>50K,1
Self-emp,10th,6,1,Less than HS graduate,0,Machine-op-inspct,Own-child,United-States,<=50K,0
Private,Assoc-voc,11,3,Some college or associate's degree,0,Other-service,Other-relative,United-States,<=50K,0
Public-sector,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Protective-serv,Husband,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Not-in-family,United-States,>50K,1
Private,Assoc-voc,11,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Machine-op-inspct,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Other-service,Husband,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Other-service,Not-in-family,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,United-States,<=50K,0
Private,10th,6,1,Less than HS graduate,0,Adm-clerical,Unmarried,United-States,<=50K,0
Private,Masters,14,5,Graduate or professional degree,1,Exec-managerial,Husband,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Unmarried,United-States,<=50K,0
Self-emp,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,United-States,>50K,1
Public-sector,10th,6,1,Less than HS graduate,0,Other-service,Not-in-family,United-States,<=50K,0
Public-sector,Some-college,10,3,Some college or associate's degree,1,Protective-serv,Husband,United-States,<=50K,0
Private,11th,7,1,Less than HS graduate,1,Transport-moving,Husband,United-States,<=50K,0
Public-sector,Masters,14,5,Graduate or professional degree,0,Prof-specialty,Not-in-family,Germany,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,0,Sales,Not-in-family,United-States,<=50K,0
Private,10th,6,1,Less than HS graduate,1,Machine-op-inspct,Husband,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Machine-op-inspct,Not-in-family,United-States,<=50K,0
Self-emp,Assoc-acdm,12,3,Some college or associate's degree,1,Adm-clerical,Wife,United-States,>50K,1
Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Unmarried,United-States,<=50K,0
Self-emp,Some-college,10,3,Some college or associate's degree,0,Sales,Not-in-family,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,0,Farming-fishing,Not-in-family,United-States,<=50K,0
Private,Masters,14,5,Graduate or professional degree,1,Exec-managerial,Husband,United-States,>50K,1
?,7th-8th,4,1,Less than HS graduate,0,?,Other-relative,Poland,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
Self-emp,Masters,14,5,Graduate or professional degree,1,Sales,Husband,United-States,>50K,1
Public-sector,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
Public-sector,Some-college,10,3,Some college or associate's degree,0,Prof-specialty,Own-child,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Transport-moving,Not-in-family,United-States,<=50K,0
Public-sector,Some-college,10,3,Some college or associate's degree,1,Adm-clerical,Husband,United-States,>50K,1
Private,Some-college,10,3,Some college or associate's degree,1,Sales,Other-relative,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Other-service,Not-in-family,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Craft-repair,Own-child,United-States,<=50K,0
Private,10th,6,1,Less than HS graduate,0,Handlers-cleaners,Other-relative,United-States,<=50K,0
Private,Masters,14,5,Graduate or professional degree,0,Sales,Own-child,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Craft-repair,Not-in-family,United-States,<=50K,0
Private,11th,7,1,Less than HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Other-service,Unmarried,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,>50K,1
Self-emp,HS-grad,9,2,HS graduate,1,Farming-fishing,Husband,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Sales,Own-child,United-States,<=50K,0
Private,Doctorate,16,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
Private,10th,6,1,Less than HS graduate,0,Handlers-cleaners,Unmarried,United-States,<=50K,0
Self-emp,HS-grad,9,2,HS graduate,0,Other-service,Unmarried,India,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,>50K,1
Private,Masters,14,5,Graduate or professional degree,1,Exec-managerial,Husband,United-States,>50K,1
Self-emp,Masters,14,5,Graduate or professional degree,0,Prof-specialty,Unmarried,United-States,>50K,1
Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
Public-sector,Some-college,10,3,Some college or associate's degree,0,Other-service,Own-child,United-States,<=50K,0
Public-sector,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,>50K,1
Private,5th-6th,3,1,Less than HS graduate,0,Other-service,Not-in-family,Cuba,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,United-States,<=50K,0
Private,11th,7,1,Less than HS graduate,1,Sales,Husband,United-States,<=50K,0
?,Bachelors,13,4,Bachelor's degree,1,?,Husband,United-States,<=50K,0
Private,Assoc-voc,11,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
?,Masters,14,5,Graduate or professional degree,1,?,Husband,United-States,>50K,1
?,10th,6,1,Less than HS graduate,0,?,Unmarried,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Handlers-cleaners,Husband,United-States,>50K,1
Self-emp,7th-8th,4,1,Less than HS graduate,1,Farming-fishing,Husband,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,<=50K,0
Public-sector,Prof-school,15,5,Graduate or professional degree,0,Prof-specialty,Not-in-family,United-States,>50K,1
Private,Masters,14,5,Graduate or professional degree,1,Exec-managerial,Husband,El-Salvador,>50K,1
?,10th,6,1,Less than HS graduate,0,?,Other-relative,China,<=50K,0
?,HS-grad,9,2,HS graduate,0,?,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Sales,Own-child,United-States,<=50K,0
Public-sector,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,United-States,<=50K,0
Public-sector,HS-grad,9,2,HS graduate,1,Protective-serv,Husband,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Unmarried,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Transport-moving,Not-in-family,United-States,<=50K,0
?,HS-grad,9,2,HS graduate,0,?,Not-in-family,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,1,Sales,Wife,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Sales,Not-in-family,United-States,<=50K,0
Private,11th,7,1,Less than HS graduate,1,Exec-managerial,Husband,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Handlers-cleaners,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,1,Other-service,Wife,United-States,<=50K,0
Public-sector,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
Public-sector,Masters,14,5,Graduate or professional degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,1,Sales,Husband,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Other-service,Wife,United-States,>50K,1
Public-sector,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,>50K,1
Self-emp,Assoc-voc,11,3,Some college or associate's degree,0,Craft-repair,Not-in-family,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Exec-managerial,Not-in-family,United-States,>50K,1
Private,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,<=50K,0
?,Some-college,10,3,Some college or associate's degree,0,?,Own-child,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Prof-specialty,Own-child,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,1,Handlers-cleaners,Husband,United-States,>50K,1
Private,Some-college,10,3,Some college or associate's degree,0,Sales,Own-child,United-States,<=50K,0
Private,11th,7,1,Less than HS graduate,0,Exec-managerial,Unmarried,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Own-child,Nicaragua,<=50K,0
Private,Assoc-voc,11,3,Some college or associate's degree,1,Adm-clerical,Husband,United-States,>50K,1
?,Bachelors,13,4,Bachelor's degree,0,?,Not-in-family,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,>50K,1
Public-sector,Masters,14,5,Graduate or professional degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,United-States,>50K,1
Private,11th,7,1,Less than HS graduate,0,Machine-op-inspct,Other-relative,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,>50K,1
Private,Assoc-voc,11,3,Some college or associate's degree,0,Tech-support,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,1,Other-service,Husband,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,1,Machine-op-inspct,Husband,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Not-in-family,United-States,<=50K,0
Self-emp,Some-college,10,3,Some college or associate's degree,1,Other-service,Husband,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,1,Machine-op-inspct,Husband,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Unmarried,United-States,<=50K,0
Public-sector,Doctorate,16,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
Private,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Transport-moving,Not-in-family,United-States,<=50K,0
?,Bachelors,13,4,Bachelor's degree,1,?,Husband,United-States,>50K,1
Private,Bachelors,13,4,Bachelor's degree,1,Sales,Husband,United-States,>50K,1
Private,Prof-school,15,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
Self-emp,7th-8th,4,1,Less than HS graduate,1,Transport-moving,Husband,United-States,>50K,1
Private,Bachelors,13,4,Bachelor's degree,1,Other-service,Wife,Poland,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Other-service,Unmarried,China,<=50K,0
Private,Assoc-acdm,12,3,Some college or associate's degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,1,Tech-support,Husband,United-States,>50K,1
Public-sector,HS-grad,9,2,HS graduate,1,Adm-clerical,Husband,United-States,>50K,1
Private,7th-8th,4,1,Less than HS graduate,0,Farming-fishing,Other-relative,Guatemala,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Handlers-cleaners,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Handlers-cleaners,Own-child,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Other-service,Unmarried,United-States,<=50K,0
Self-emp,Masters,14,5,Graduate or professional degree,1,Exec-managerial,Wife,United-States,>50K,1
?,Assoc-voc,11,3,Some college or associate's degree,1,?,Own-child,United-States,>50K,1
Public-sector,HS-grad,9,2,HS graduate,0,Prof-specialty,Not-in-family,United-States,<=50K,0
Public-sector,HS-grad,9,2,HS graduate,1,Adm-clerical,Husband,United-States,>50K,1
?,Bachelors,13,4,Bachelor's degree,0,?,Own-child,United-States,<=50K,0
Public-sector,Bachelors,13,4,Bachelor's degree,1,Craft-repair,Husband,Philippines,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Sales,Husband,Mexico,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,>50K,1
Private,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,0,Prof-specialty,Unmarried,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,United-States,<=50K,0
Private,11th,7,1,Less than HS graduate,0,Handlers-cleaners,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Prof-specialty,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Tech-support,Other-relative,United-States,<=50K,0
Private,11th,7,1,Less than HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
Public-sector,Assoc-acdm,12,3,Some college or associate's degree,1,Protective-serv,Husband,England,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Sales,Unmarried,United-States,<=50K,0
Private,Masters,14,5,Graduate or professional degree,0,Prof-specialty,Not-in-family,United-States,>50K,1
Private,Bachelors,13,4,Bachelor's degree,1,Sales,Husband,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,1,Sales,Husband,United-States,<=50K,0
Private,10th,6,1,Less than HS graduate,0,Other-service,Unmarried,United-States,<=50K,0
Private,7th-8th,4,1,Less than HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
Public-sector,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,1,Transport-moving,Husband,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,0,Tech-support,Not-in-family,United-States,<=50K,0
Public-sector,Some-college,10,3,Some college or associate's degree,1,Handlers-cleaners,Husband,United-States,>50K,1
Private,Some-college,10,3,Some college or associate's degree,0,Craft-repair,Not-in-family,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,1,Adm-clerical,Husband,?,>50K,1
Public-sector,HS-grad,9,2,HS graduate,0,Adm-clerical,Unmarried,United-States,<=50K,0
Private,12th,8,1,Less than HS graduate,0,Prof-specialty,Own-child,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Own-child,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Sales,Husband,United-States,>50K,1
Private,Bachelors,13,4,Bachelor's degree,1,Craft-repair,Husband,United-States,>50K,1
Private,Some-college,10,3,Some college or associate's degree,0,Sales,Other-relative,United-States,<=50K,0
Private,Assoc-acdm,12,3,Some college or associate's degree,0,Machine-op-inspct,Not-in-family,United-States,>50K,1
?,Some-college,10,3,Some college or associate's degree,1,?,Husband,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
Public-sector,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,>50K,1
Public-sector,Some-college,10,3,Some college or associate's degree,0,Exec-managerial,Unmarried,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Other-service,Wife,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Transport-moving,Own-child,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,0,Craft-repair,Unmarried,United-States,<=50K,0
Private,5th-6th,3,1,Less than HS graduate,1,Other-service,Husband,Nicaragua,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,United-States,<=50K,0
Public-sector,Some-college,10,3,Some college or associate's degree,1,Adm-clerical,Husband,United-States,>50K,1
Private,Bachelors,13,4,Bachelor's degree,0,Sales,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Machine-op-inspct,Husband,United-States,<=50K,0
Unpaid,HS-grad,9,2,HS graduate,0,Farming-fishing,Own-child,United-States,<=50K,0
Public-sector,11th,7,1,Less than HS graduate,0,Other-service,Unmarried,United-States,<=50K,0
Private,10th,6,1,Less than HS graduate,1,Transport-moving,Husband,United-States,<=50K,0
Self-emp,HS-grad,9,2,HS graduate,1,Exec-managerial,Husband,United-States,<=50K,0
Private,10th,6,1,Less than HS graduate,0,Other-service,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Handlers-cleaners,Unmarried,Japan,<=50K,0
Public-sector,Masters,14,5,Graduate or professional degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
Private,12th,8,1,Less than HS graduate,0,Other-service,Own-child,United-States,<=50K,0
Self-emp,HS-grad,9,2,HS graduate,1,Sales,Husband,England,>50K,1
Public-sector,HS-grad,9,2,HS graduate,1,Exec-managerial,Husband,United-States,<=50K,0
Private,11th,7,1,Less than HS graduate,0,Transport-moving,Not-in-family,United-States,<=50K,0
Public-sector,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,1,Tech-support,Husband,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,1,Sales,Husband,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Other-service,Own-child,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Sales,Own-child,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,>50K,1
Self-emp,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,>50K,1
Private,Some-college,10,3,Some college or associate's degree,0,Other-service,Not-in-family,United-States,<=50K,0
Public-sector,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,<=50K,0
Public-sector,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,0,Tech-support,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Machine-op-inspct,Wife,United-States,>50K,1
Self-emp,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,El-Salvador,<=50K,0
Private,7th-8th,4,1,Less than HS graduate,0,Sales,Unmarried,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Exec-managerial,Husband,United-States,<=50K,0
Private,10th,6,1,Less than HS graduate,0,Craft-repair,Not-in-family,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,<=50K,0
Private,5th-6th,3,1,Less than HS graduate,1,Sales,Husband,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,0,Other-service,Not-in-family,United-States,<=50K,0
Public-sector,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
Private,Assoc-acdm,12,3,Some college or associate's degree,0,Exec-managerial,Not-in-family,United-States,<=50K,0
Private,11th,7,1,Less than HS graduate,1,Other-service,Wife,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Other-service,Unmarried,United-States,<=50K,0
Private,7th-8th,4,1,Less than HS graduate,1,Transport-moving,Husband,United-States,<=50K,0
?,Some-college,10,3,Some college or associate's degree,0,?,Own-child,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Not-in-family,United-States,<=50K,0
Self-emp,Assoc-acdm,12,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Not-in-family,United-States,<=50K,0
Self-emp,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Craft-repair,Unmarried,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Other-service,Own-child,United-States,<=50K,0
Self-emp,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,<=50K,0
Self-emp,Bachelors,13,4,Bachelor's degree,1,Farming-fishing,Husband,United-States,<=50K,0
Public-sector,HS-grad,9,2,HS graduate,0,Adm-clerical,Other-relative,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Other-service,Not-in-family,Puerto-Rico,<=50K,0
Private,Masters,14,5,Graduate or professional degree,1,Exec-managerial,Husband,Greece,>50K,1
Self-emp,Some-college,10,3,Some college or associate's degree,0,Craft-repair,Not-in-family,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,0,Sales,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Prof-specialty,Husband,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,1,Sales,Husband,United-States,>50K,1
Private,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Craft-repair,Not-in-family,United-States,>50K,1
Private,Some-college,10,3,Some college or associate's degree,0,Other-service,Not-in-family,United-States,<=50K,0
Private,Assoc-acdm,12,3,Some college or associate's degree,0,Adm-clerical,Unmarried,Jamaica,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Wife,United-States,<=50K,0
Private,10th,6,1,Less than HS graduate,1,Transport-moving,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Craft-repair,Own-child,United-States,<=50K,0
Private,Masters,14,5,Graduate or professional degree,0,Prof-specialty,Unmarried,South,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Adm-clerical,Husband,United-States,<=50K,0
Self-emp,HS-grad,9,2,HS graduate,1,Sales,Husband,United-States,<=50K,0
Self-emp,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,United-States,>50K,1
Private,Some-college,10,3,Some college or associate's degree,0,Prof-specialty,Own-child,El-Salvador,<=50K,0
Self-emp,Bachelors,13,4,Bachelor's degree,1,Farming-fishing,Husband,United-States,<=50K,0
?,Bachelors,13,4,Bachelor's degree,1,?,Husband,United-States,>50K,1
Self-emp,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Not-in-family,United-States,<=50K,0
Public-sector,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Own-child,United-States,<=50K,0
Private,Assoc-voc,11,3,Some college or associate's degree,0,Craft-repair,Not-in-family,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Other-service,Not-in-family,United-States,<=50K,0
Private,Doctorate,16,5,Graduate or professional degree,0,Exec-managerial,Not-in-family,United-States,>50K,1
Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,>50K,1
Private,9th,5,1,Less than HS graduate,0,Machine-op-inspct,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Sales,Unmarried,United-States,<=50K,0
Private,7th-8th,4,1,Less than HS graduate,1,Machine-op-inspct,Husband,Mexico,<=50K,0
